STA,YOF,AGE,IAS,IND,SIZ,FUN,COU,CON,INS,INA,NCO,NAD,SEN,EMP,PRE,REP,SSM,TOP,AVC,PAS,SAS,BIG,EXP,PSC,CAV,DAT,CDA,SDA,SUB,CPB,PLA,MOD,CAP,PAR,CRS,CRF,MLB,PAB,SAB,PRB,BDB,CCA,OWN,AGG,OOV,B2V,TOF,AYE,EAG,BEV,EDU,YED,RED,REP,TIE,PRO,ESB,E1O,E5O,E10,TMS,REC,RES,SKI,TSC,DWF,PST,HYP,TTM,LTR,PPP,BAR,AWA,CHF,LRI,GPR,TPA,SOL,INC,TRE,DIS,NDC,EPY,SUR,TIM,AVT,PSE,PSO,PSG,PSM,PSL,PSD,PSB,PSP,PSS,PSD,PSL,PSC,PSF,PSI,PSR
Success,2010.0,4.0,-81.0,Analytics,No,3499999.0,United States,North America,0.0,3.0,1,0,7,50.0,No,2.0,High,No,Small,No,No,No,No,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,Yes,Many,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,Masters,21.0,Yes,Yes,Tier_1,417.0,High,0.0,0.0,0.0,None,1.0,Few,12.0,Medium,Medium,Yes,No,Low,No,Yes,Yes,No,No,No,1939943.0,Yes,Yes,No,3.0,Medium,0.0,16.6,Not Applicable,3.0,11.06666667,8.333333332999999,0.0,58.33333333,0.0,0.0,0.0,25.0,0.0,0.0,8.333333332999999,0.0,0.0,0.0,0.0,2.0
Success,2009.0,5.0,471.0,Marketing,No,10000000.0,United States,North America,0.0,0.0,3,0,8,50.0,No,2.0,Low,No,Small,No,No,No,No,Both,Yes,Both,Yes,Both,No,Platform,Global,Non-Linear,No,Few,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Medium,High,Yes,Medium,Masters,21.0,Yes,Yes,Tier_2,500.0,High,0.0,0.0,0.0,Low,0.0,Few,4.5,High,Medium,Yes,No,Low,,Yes,Yes,No,No,No,276491.0,Yes,Yes,No,4.0,High,0.0,12.5,Not Applicable,30.0,12.61666667,20.0,0.0,20.0,0.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Success,2002.0,12.0,47.0,Solution Providing,Yes,750000.0,United States,North America,0.0,3.0,0,0,8,200.0,No,0.0,Medium,Yes,Small,Yes,Yes,No,No,Both,No,Public,Yes,Both,No,Platform,Local,Non-Linear,Yes,Many,No,No,Yes,No,No,No,No,No,Yes,No,Online,B2B,Low,High,Yes,High,Masters,21.0,Yes,Yes,Tier_1,500.0,Medium,0.0,0.0,0.0,None,0.0,Few,18.5,High,High,Yes,No,High,No,Yes,No,Yes,No,No,3341960.0,Yes,Yes,No,4.0,High,0.0,18.18,Yes,35.0,24.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Success,2010.0,4.0,60.0,Advertising,No,749999.0,United States,North America,0.0,6.0,2,0,4,50.0,No,0.0,Low,No,Small,Yes,Yes,No,No,Product,No,Private,Yes,Both,No,Cloud,Local,Non-Linear,,None,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,No,Low,Bachelors,18.0,No,Yes,Tier_1,500.0,High,0.0,0.0,0.0,None,0.0,None,0.0,High,High,No,No,High,No,No,Yes,No,No,No,2461569.0,No,Yes,No,4.0,High,4.0,16.6,Not Applicable,20.0,5.455555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Success,2010.0,4.0,70.0,Marketing,Yes,5000000.0,United States,North America,0.0,1.0,2,0,5,26.0,No,0.0,Medium,Yes,Medium,Yes,No,No,No,Both,Yes,Private,Yes,Structured,No,Cloud,Global,Non-Linear,No,,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Offline,B2B,High,High,Yes,Low,Bachelors,18.0,Yes,Yes,None,410.0,High,1.0,1.0,1.0,High,56.0,None,22.0,Medium,Medium,Yes,No,Low,Yes,Yes,No,No,No,No,1246836.0,Yes,No,No,4.0,Medium,0.0,8.6,Not Applicable,15.0,15.0,5.555555556,0.0,27.77777778,11.11111111,0.0,16.66666667,27.77777778,5.555555556,0.0,5.555555556,0.0,0.0,0.0,0.0,7.0
Success,2005.0,9.0,242.0,Social Media,Yes,1500000.0,United States,North America,0.0,0.0,2,0,4,26.0,No,0.0,Medium,No,Medium,Yes,Yes,Yes,Yes,Both,Yes,Public,No,Both,Yes,Platform,Global,Non-Linear,No,,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Both,B2B,High,High,Yes,High,Masters,21.0,Yes,Yes,Tier_1,500.0,Low,1.0,1.0,1.0,Low,100.0,Few,14.0,Low,Low,No,No,Medium,No,No,No,Yes,No,No,269278.0,No,Yes,No,4.0,High,0.0,3.25,Yes,96.0,96.0,8.333333332999999,0.0,0.0,0.0,0.0,25.0,33.33333333,8.333333332999999,8.333333332999999,0.0,0.0,16.66666667,0.0,0.0,0.0
Success,2012.0,2.0,245.0,Analytics,Yes,15000000.0,United States,North America,0.0,0.0,3,8,3,33.0,Yes,2.0,High,Yes,Medium,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,No,Platform,Global,Non-Linear,No,,No,No,No,No,No,No,Yes,Yes,No,No,Offline,B2B,High,High,Yes,Medium,Masters,21.0,Yes,Yes,Tier_2,500.0,Low,1.0,1.0,1.0,High,58.0,None,17.0,High,Medium,No,Yes,Low,Yes,No,No,Yes,No,No,761788.0,No,No,No,3.0,Medium,0.0,33.0,Not Applicable,10.0,7.3666666670000005,8.088235294,0.0,17.89215686,1.960784314,2.083333333,8.088235294,14.21568627,4.044117647,4.044117647,4.166666667,0.0,0.0,0.0,2.083333333,9.0
Success,2009.0,5.0,,Marketing,Yes,,,,6.0,0.0,2,6,5,22.0,Yes,4.0,Medium,No,Small,Yes,Yes,No,Yes,Service,Yes,Both,No,Structured,No,Platform,Global,Non-Linear,No,,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Online,B2B,High,High,No,High,Masters,21.0,No,Yes,Tier_1,500.0,Low,0.0,0.0,0.0,Low,59.0,Many,30.0,Low,Low,No,No,Low,No,Yes,No,Yes,No,No,109189.0,Yes,No,No,3.0,Medium,0.0,5.5,Not Applicable,5.0,18.0,5.882352941000001,2.9411764710000003,41.17647059,8.823529412000001,0.0,8.823529412000001,17.64705882,2.9411764710000003,5.882352941000001,2.9411764710000003,0.0,0.0,0.0,2.9411764710000003,9.0
Success,2012.0,2.0,373.0,Mobile,Yes,1700000.0,United States,North America,1.0,0.0,2,0,2,3.0,No,0.0,Medium,No,Small,Yes,Yes,No,No,Service,Yes,Public,No,Both,Yes,Platform,Local,Linear,Yes,,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Online,B2C,High,High,Yes,Medium,PhD,25.0,Yes,Yes,None,500.0,Low,0.0,0.0,0.0,High,81.0,Many,40.0,Low,Low,No,Yes,Medium,Yes,Yes,Yes,No,No,No,642250.0,Yes,No,No,3.0,High,5.0,3.0,Not Applicable,14.0,3.55,11.4379085,0.0,20.58823529,11.11111111,2.9411764710000003,5.718954247999999,25.65359477,2.777777778,11.2745098,2.777777778,0.0,0.0,0.0,5.718954247999999,3.0
Success,2011.0,3.0,61.0,Analytics,Yes,250000.0,United States,North America,3.0,0.0,2,1,3,5.0,No,0.0,Nothing,No,Small,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,Yes,Platform,Global,Non-Linear,No,,No,No,No,No,No,No,Yes,Yes,No,No,Online,B2B,High,High,Yes,Medium,Masters,21.0,No,No,None,500.0,Low,0.0,0.0,0.0,Medium,24.0,Many,14.0,Low,Low,No,No,Low,No,No,No,No,No,No,3799200.0,Yes,No,No,2.0,Low,3.0,2.5,Not Applicable,1.0,6.1111111110000005,15.38461538,0.0,0.0,46.15384615,0.0,7.692307692000001,7.692307692000001,0.0,7.692307692000001,15.38461538,0.0,0.0,0.0,0.0,0.0
Success,2009.0,5.0,155.0,Analytics,Yes,1400000.0,United States,North America,0.0,0.0,3,0,3,6.0,No,0.0,Low,No,Medium,No,No,Yes,No,Service,Yes,Private,No,Unstructured,No,Platform,Global,Non-Linear,No,,No,No,No,No,No,No,No,No,Yes,Yes,Online,B2B,None,Medium,No,Low,Bachelors,18.0,No,No,Both,307.0,Low,1.0,1.0,1.0,Medium,67.0,Many,0.0,Low,Low,No,No,Medium,No,Yes,Yes,Yes,No,No,2497831.0,No,No,Yes,4.0,High,0.0,1.5,Not Applicable,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Success,2013.0,1.0,43.0,Social Media,No,1100000.0,United States,North America,6.0,0.0,1,0,1,5.0,No,0.0,Nothing,No,Small,No,No,No,No,Service,No,Private,No,Both,Yes,Platform,Global,Non-Linear,No,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Online,B2C,Low,Low,No,Low,PhD,25.0,No,No,Tier_2,500.0,Low,0.0,0.0,0.0,Low,53.0,Few,32.0,Low,Low,No,Yes,Medium,No,No,No,No,No,No,7253712.0,Yes,No,No,3.0,Medium,0.0,5.0,Not Applicable,4.0,4.0,7.142857143,0.0,14.28571429,7.142857143,21.42857143,7.142857143,7.142857143,7.142857143,7.142857143,0.0,14.28571429,0.0,0.0,7.142857143,4.0
Success,2007.0,7.0,11.0,Analytics,Yes,15000000.0,United States,North America,0.0,0.0,2,8,10,110.0,Yes,2.0,High,No,Medium,No,No,No,No,Service,No,Private,No,Structured,No,Platform,Local,Linear,Yes,,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Low,High,No,Medium,Bachelors,18.0,No,Yes,None,500.0,Medium,1.0,1.0,1.0,Medium,71.0,Few,18.0,High,High,Yes,Yes,Medium,Yes,Yes,Yes,Yes,No,Yes,296645.0,No,No,Yes,4.0,High,0.0,18.3,Yes,36.0,13.62222222,5.555555556,5.555555556,16.66666667,5.555555556,5.555555556,5.555555556,22.22222222,5.555555556,22.22222222,5.555555556,0.0,0.0,0.0,0.0,1.0
Success,2012.0,2.0,281.0,Enterprise Software,No,200000.0,United States,North America,3.0,0.0,2,0,2,3.0,No,0.0,Medium,No,Small,No,No,No,No,Service,No,Private,No,Both,No,Platform,Global,Non-Linear,No,,Yes,No,No,No,No,No,No,No,Yes,No,Online,B2C,Low,Medium,No,Medium,Bachelors,18.0,Yes,Yes,Both,350.0,Low,0.0,0.0,0.0,High,79.0,Few,17.0,Low,Low,No,No,Low,Yes,No,No,No,No,No,155498.0,No,Yes,No,2.0,Low,5.0,3.0,Not Applicable,6.0,3.0,0.0,0.0,80.20833333,4.166666667,0.0,4.166666667,11.45833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Success,2012.0,2.0,421.0,Marketing,No,600000.0,United States,North America,2.0,0.0,4,0,4,50.0,No,0.0,Medium,No,Small,No,No,No,No,Service,Yes,Private,No,Both,Yes,Platform,Global,Linear,Yes,,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,Low,No,Low,Bachelors,18.0,No,No,Tier_1,500.0,Low,0.0,0.0,0.0,Low,58.0,Many,13.0,Low,Low,Yes,No,Medium,No,Yes,No,No,No,No,38021.0,Yes,Yes,Yes,4.0,High,0.0,25.0,Not Applicable,1.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Success,2008.0,6.0,-91.0,Security,No,,United States,North America,0.0,1.0,2,0,7,35.0,Yes,3.0,Nothing,Yes,Large,Yes,No,No,No,Service,No,Private,No,Both,Yes,Platform,Local,Linear,Yes,,No,No,Yes,No,No,No,No,No,No,No,Online,B2B,Low,High,Yes,Medium,PhD,25.0,Yes,Yes,Tier_2,500.0,High,0.0,1.0,1.0,High,120.0,Many,16.0,High,High,Yes,No,Medium,Yes,Yes,Yes,Yes,No,No,,Yes,No,Yes,4.0,High,0.0,7.0,Yes,8.0,12.12222222,9.444444444,2.777777778,50.0,0.0,3.333333333,12.77777778,12.77777778,0.0,0.0,2.777777778,6.1111111110000005,0.0,0.0,0.0,4.0
Success,2010.0,4.0,983.0,Analytics,Yes,20000000.0,United States,North America,2.0,3.0,3,2,5,132.0,Yes,3.0,High,No,Small,No,No,No,No,Product,Yes,Both,No,Both,Yes,Platform,Global,Non-Linear,No,,No,No,No,Yes,No,Yes,Yes,No,No,No,Online,B2B,Low,Medium,No,Medium,Bachelors,18.0,No,No,Tier_2,470.0,Medium,0.0,0.0,0.0,High,63.0,Few,31.0,High,High,Yes,No,Low,Yes,Yes,No,Yes,No,No,9355.0,No,No,Yes,4.0,High,0.0,44.0,Not Applicable,1.0,12.0,12.5,0.0,6.25,50.0,0.0,18.75,6.25,0.0,6.25,0.0,0.0,0.0,0.0,0.0,1.0
Success,2011.0,3.0,68.0,Advertising,Yes,2000000.0,United States,North America,,,3,0,4,8.0,No,0.0,Nothing,No,Medium,Yes,No,No,No,Service,Yes,Both,No,Both,Yes,Platform,Global,Non-Linear,No,,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Online,B2B,None,Medium,No,Low,Bachelors,18.0,Yes,Yes,None,500.0,Low,0.0,0.0,0.0,Medium,116.0,Few,14.0,Low,Low,No,No,Medium,No,No,No,No,No,No,1024425.0,No,No,No,2.0,Low,0.0,4.0,Not Applicable,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Success,2010.0,4.0,,Analytics,No,,,,0.0,5.0,1,0,6,12.0,No,1.0,Nothing,No,Medium,Yes,Yes,No,Yes,Product,Yes,Private,No,Structured,Yes,Platform,Global,Non-Linear,No,,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Online,B2B,Low,High,No,Low,Bachelors,18.0,No,No,None,500.0,Low,0.0,0.0,0.0,Low,69.0,Few,28.0,Medium,Medium,No,No,Low,No,No,No,No,No,No,,No,No,No,2.0,Low,0.0,4.0,Not Applicable,1.0,9.375,11.11111111,0.0,27.77777778,22.22222222,0.0,11.11111111,5.555555556,5.555555556,0.0,5.555555556,0.0,0.0,5.555555556,5.555555556,1.0
Success,2012.0,2.0,75.0,Marketing,Yes,2870890.0,United States,North America,0.0,3.0,2,6,4,13.0,No,0.0,Medium,No,Medium,No,No,No,No,Service,Yes,Public,Yes,Structured,Yes,Platform,Global,Non-Linear,No,None,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Offline,B2B,Low,High,No,Medium,Bachelors,18.0,No,Yes,None,500.0,High,1.0,1.0,1.0,Medium,61.0,Many,45.0,Medium,Medium,Yes,No,Medium,Yes,Yes,Yes,Yes,No,No,1951415.0,No,No,Yes,4.0,Medium,0.0,13.0,Not Applicable,7.0,5.033333333,16.66666667,11.11111111,0.0,11.11111111,11.11111111,0.0,27.77777778,0.0,5.555555556,0.0,0.0,0.0,11.11111111,5.555555556,0.0
