AYE,BIG,BAR,IND,DWF,PST,CPB,REC,SUR,CDA,INC,MLB
0,0,1,1,2,1,3,0,1,1,0,0
0,0,1,25,2,1,1,0,1,0,1,0
0,1,1,21,2,1,3,0,1,1,0,1
2,0,1,21,2,1,1,0,2,1,0,0
0,0,1,21,2,1,3,0,1,1,0,0
0,0,0,21,0,1,1,0,1,0,0,0
0,0,1,17,2,1,3,0,2,1,0,0
2,0,1,1,2,1,3,0,2,1,0,0
0,0,1,21,2,1,1,0,2,1,0,0
2,0,1,1,2,1,3,0,1,1,0,0
0,0,1,21,2,1,3,0,1,1,0,1
2,0,1,21,2,1,1,0,1,0,0,0
0,0,1,12,1,0,3,0,0,1,0,0
0,0,0,25,1,0,3,0,0,0,0,0
0,0,1,22,1,0,3,0,2,0,0,0
0,0,1,35,1,1,3,0,0,1,0,1
0,0,1,8,2,1,3,0,1,0,0,0
0,0,1,30,1,1,3,0,2,0,0,0
0,0,1,23,2,1,3,0,2,0,0,0
0,0,0,8,1,1,3,0,1,0,0,0
0,0,1,23,1,1,3,0,1,0,1,0
2,0,0,9,1,1,1,0,1,0,0,0
0,0,0,36,1,0,3,0,2,1,0,0
0,0,0,13,1,0,3,0,0,0,0,0
0,0,0,35,1,0,3,0,0,0,0,0
2,0,0,21,1,0,3,0,1,0,0,0
2,0,0,20,1,0,3,0,0,0,0,0
0,0,0,22,2,1,3,0,0,0,0,1
0,0,0,0,1,1,3,0,2,1,0,0
0,0,0,35,2,1,3,0,1,0,0,0
2,0,1,21,1,1,3,0,1,0,0,0
0,0,1,21,2,1,1,0,1,1,1,0
0,1,1,39,0,1,3,0,2,1,0,0
0,0,0,1,0,1,0,0,2,0,0,0
0,0,0,21,1,0,3,0,1,1,0,1
2,0,0,21,1,0,3,0,0,0,0,0
2,0,1,35,2,0,3,0,2,0,0,1
2,0,1,1,2,1,3,0,2,0,1,1
2,0,0,1,1,1,3,0,1,0,1,0
0,1,0,1,0,0,0,1,2,0,1,1
2,0,1,2,1,0,3,0,1,1,1,0
0,0,1,8,1,1,3,0,1,0,0,1
2,0,0,16,2,1,3,1,1,1,1,0
0,0,0,1,2,1,3,0,1,0,0,1
0,0,0,0,2,1,3,0,2,0,0,0
0,0,0,12,2,0,3,0,1,0,1,1
0,0,0,16,1,0,3,0,0,0,0,0
2,0,0,1,1,0,3,1,1,0,0,1
0,0,0,38,1,1,3,0,1,0,0,0
0,0,1,1,2,1,3,0,1,0,1,0
0,0,0,7,2,1,3,0,2,0,0,0
0,0,1,20,2,1,3,1,1,0,0,1
2,0,0,19,2,0,3,0,1,1,0,0
2,0,0,1,1,0,3,0,1,1,0,0
2,0,1,1,2,1,3,0,2,1,1,1
0,0,1,1,0,0,3,2,1,1,0,0
0,0,1,22,2,0,3,2,1,1,0,0
0,0,0,1,1,0,1,0,1,1,0,0
2,0,1,22,1,0,3,0,1,1,0,0
2,0,1,21,2,0,3,0,1,1,0,0
2,0,0,8,0,0,3,0,1,1,0,1
1,0,0,23,2,1,1,2,1,1,1,0
0,0,1,21,2,0,3,1,1,1,0,0
2,0,1,1,2,0,1,1,1,0,1,0
2,0,1,5,2,0,3,0,1,1,0,1
2,0,0,27,2,0,1,0,1,1,0,0
0,0,0,1,0,1,1,0,1,1,0,0
0,0,0,39,2,0,3,1,2,1,0,0
0,0,0,0,2,0,3,1,1,1,0,0
0,0,1,1,0,0,1,0,1,1,0,0
0,0,1,12,2,0,3,0,1,1,0,0
2,0,1,30,1,0,3,1,1,1,1,0
0,0,0,1,0,0,3,0,1,1,0,0
0,0,1,1,1,1,1,1,1,0,0,0
0,0,0,21,1,0,3,0,1,1,0,1
0,0,0,1,0,1,1,0,1,1,0,0
0,0,0,1,1,0,1,1,1,0,0,0
0,0,1,27,0,0,3,1,1,1,0,1
2,0,1,1,0,0,1,1,1,1,0,1
0,0,1,31,0,1,1,0,1,1,1,1
0,0,1,0,0,1,1,1,1,1,0,0
0,0,1,12,0,1,1,3,1,1,1,0
0,0,0,12,2,0,3,2,1,1,0,0
0,0,0,11,2,0,3,0,1,1,0,0
0,0,0,1,1,1,3,1,2,1,0,0
0,0,0,5,1,0,3,0,1,1,1,1
0,0,0,32,1,0,3,1,2,1,0,0
0,0,1,5,1,0,3,2,1,1,0,0
0,0,1,39,2,1,3,1,2,1,1,0
0,0,0,8,0,0,3,2,1,1,0,0
2,0,1,1,1,0,3,2,2,1,0,0
0,1,1,0,0,0,3,1,1,1,1,0
2,0,1,8,2,0,3,0,1,1,0,0
0,0,0,27,2,1,3,1,1,0,0,0
0,0,0,27,2,0,1,1,1,1,0,0
0,0,1,1,0,0,1,2,2,1,0,0
2,0,1,8,2,0,3,2,2,1,0,0
0,0,1,27,2,0,3,0,2,1,0,0
0,0,0,1,1,0,3,3,2,1,0,0
0,0,0,13,0,0,1,0,2,0,0,1
1,0,1,27,0,1,1,0,1,1,0,1
0,0,0,24,0,0,3,0,1,1,0,1
0,0,1,1,1,0,1,1,1,1,0,0
0,0,0,23,2,0,3,0,0,1,1,1
1,0,0,14,1,0,1,0,0,1,0,0
0,0,0,2,2,1,0,0,1,0,0,1
0,0,0,1,1,1,3,0,1,0,0,1
2,1,0,1,1,1,3,1,1,0,0,1
2,0,0,25,1,1,1,0,1,1,1,0
2,0,0,27,2,0,3,0,1,0,1,0
0,0,1,2,0,1,1,1,1,1,0,0
0,1,0,8,2,1,1,0,2,0,0,1
2,0,0,21,2,0,3,0,1,0,1,0
0,0,0,43,2,1,3,0,0,0,0,0
0,0,0,1,1,1,3,1,1,1,1,0
0,1,0,8,1,0,3,0,1,1,0,1
2,0,0,21,0,1,1,0,1,0,1,0
0,0,1,26,1,0,3,0,0,0,0,0
2,0,0,6,2,1,3,0,1,1,0,0
0,0,0,25,2,1,3,0,1,0,0,0
0,0,0,32,2,1,3,0,1,0,0,0
1,0,0,23,1,1,2,0,1,0,0,0
2,0,0,9,1,0,3,0,1,0,0,0
2,0,0,3,1,0,3,0,1,0,0,0
2,0,0,0,2,0,3,0,1,1,0,0
2,0,0,1,1,0,0,0,1,0,0,1
0,0,1,1,1,1,0,0,1,1,0,1
0,0,1,1,1,0,0,0,1,1,0,1
0,0,0,1,2,1,0,0,1,0,1,0
2,0,1,1,2,1,0,0,1,0,0,1
0,0,1,6,1,1,0,0,1,0,0,1
0,0,1,1,1,0,0,0,1,0,0,1
2,1,1,1,1,1,0,3,1,0,0,1
2,0,0,22,1,0,0,2,1,0,0,1
0,1,0,1,2,0,0,0,1,0,0,1
0,0,1,1,2,0,0,1,1,1,0,0
0,0,0,1,1,0,0,0,1,0,0,1
0,0,0,1,1,0,3,0,1,0,0,1
0,0,1,1,1,0,0,0,1,0,0,0
0,0,0,8,1,0,3,0,0,0,0,0
0,0,1,20,1,0,3,0,0,0,0,0
0,0,0,41,1,1,3,0,2,0,0,0
0,0,0,28,1,0,3,0,1,0,0,0
0,0,1,35,1,0,3,0,0,0,0,0
0,0,0,0,1,0,3,0,1,0,0,0
0,0,0,25,1,1,2,0,2,0,0,0
0,0,1,25,1,0,3,0,1,0,0,0
2,0,0,25,1,0,3,0,1,0,0,0
0,0,1,23,1,1,3,0,1,0,0,0
0,0,0,4,1,0,3,0,0,0,0,0
2,0,0,22,1,0,3,0,1,0,0,0
0,0,0,21,1,0,3,0,1,0,0,0
0,0,1,16,1,1,3,0,0,0,0,0
0,0,1,12,1,1,3,0,1,0,0,0
0,0,1,12,1,1,3,0,1,0,0,0
0,0,1,20,1,0,3,0,0,0,0,0
0,0,1,27,1,0,3,0,1,0,0,0
0,0,1,23,1,0,3,0,1,0,0,0
0,0,1,13,1,0,3,0,0,0,0,0
2,0,1,8,1,1,3,0,1,0,0,0
0,0,0,6,1,0,3,0,0,0,0,0
0,0,1,16,1,1,3,0,0,0,0,0
0,0,0,21,1,1,3,0,1,0,0,0
2,0,0,16,1,0,3,0,1,0,0,0
0,0,0,12,1,1,3,0,0,0,0,0
2,0,0,15,1,1,3,0,0,0,0,0
0,0,0,27,1,1,3,0,1,0,0,0
0,0,0,27,1,1,3,0,1,0,0,0
2,0,0,21,1,1,3,0,1,0,0,0
2,0,0,23,1,0,3,0,1,0,0,0
0,0,0,12,1,0,3,0,0,0,0,0
0,0,0,0,1,1,3,0,0,0,0,0
0,0,0,35,1,1,3,0,0,0,0,0
0,0,0,24,1,1,3,0,0,0,0,0
2,0,0,1,1,1,3,0,1,0,0,0
2,0,0,8,2,0,3,0,1,0,1,0
2,0,0,6,2,0,0,0,1,0,0,0
0,0,0,43,1,0,0,0,1,0,0,0
0,0,0,22,1,1,0,1,1,0,1,1
0,0,0,8,1,0,2,0,1,0,0,1
2,0,0,1,2,0,0,1,1,0,0,0
0,0,0,1,1,0,0,0,1,0,0,0
2,0,0,1,1,0,3,1,1,0,0,1
0,0,0,21,1,0,0,0,2,0,0,1
2,0,0,8,1,0,0,0,1,0,0,1
0,0,0,1,1,0,0,1,1,1,0,0
1,0,1,0,1,0,2,1,2,1,0,1
2,0,0,6,1,0,2,1,1,1,0,1
0,0,0,1,0,0,2,1,1,0,0,0
0,0,0,1,1,1,0,2,2,0,0,0
0,0,0,1,1,0,2,0,2,0,0,1
0,0,0,1,1,0,0,0,2,0,0,1
0,0,0,1,1,0,0,0,1,0,0,1
0,0,0,24,1,0,3,0,2,0,0,0
2,0,0,1,2,0,0,0,2,0,0,1
0,0,0,1,1,0,0,0,2,0,0,1
0,0,0,1,2,0,3,0,2,0,0,0
0,0,0,0,1,0,0,0,2,0,0,0
0,0,1,1,1,0,2,0,2,0,0,0
0,0,1,9,1,0,0,0,0,0,0,0
0,0,0,1,1,0,3,2,2,0,0,0
0,0,0,1,1,0,2,0,2,0,0,1
0,0,0,32,1,0,0,2,2,0,0,1
2,0,0,1,0,0,3,0,1,0,0,0
0,0,1,0,1,0,0,3,1,0,0,0
0,0,1,1,2,0,0,1,1,0,0,0
0,0,1,1,2,0,2,0,1,0,0,0
0,0,1,1,2,0,2,0,2,0,0,1
0,0,1,1,2,0,2,0,2,0,0,1
0,0,1,1,1,0,0,0,1,0,0,0
0,0,1,0,2,0,2,0,1,0,0,1
0,0,0,1,2,1,2,0,1,0,1,1
0,0,1,1,2,1,2,0,1,0,0,1
0,0,0,1,2,1,3,0,2,0,0,0
2,0,0,12,1,0,2,1,0,0,0,1
2,0,1,1,1,0,2,2,2,0,0,1
2,0,1,1,1,0,0,2,1,0,0,0
0,0,1,1,1,0,0,2,2,0,0,1
2,0,0,8,1,0,2,0,1,0,0,0
0,0,1,1,1,0,0,1,1,0,1,1
2,0,1,1,2,1,3,0,1,1,0,0
0,0,0,8,1,1,3,0,1,0,0,0
2,0,1,21,2,0,3,0,1,1,0,0
2,1,1,31,1,0,2,0,1,0,0,0
0,0,1,18,1,1,3,0,1,0,0,0
0,0,1,23,1,0,3,0,1,0,0,0
2,0,0,8,1,0,3,0,1,0,0,0
0,0,0,1,2,0,3,0,1,1,0,0
0,0,1,1,1,0,3,0,1,0,0,0
0,0,1,1,1,0,3,0,1,1,0,0
2,0,0,1,1,0,0,0,1,1,0,1
0,1,1,23,2,0,0,0,1,0,0,1
0,0,1,1,1,1,0,0,1,0,0,1
0,0,1,1,2,1,2,1,1,0,0,1
2,0,0,18,1,1,0,1,1,1,0,1
2,0,1,1,1,1,0,1,1,0,0,1
0,0,1,0,1,0,0,2,1,0,0,0
2,0,1,1,2,0,0,0,1,0,0,1
2,0,0,20,0,0,0,0,1,0,0,1
2,0,0,1,1,0,0,0,1,0,0,1
0,0,0,8,1,0,0,2,1,0,0,1
0,1,0,21,1,0,0,3,1,0,0,1
1,0,0,8,1,1,0,0,1,0,0,0
2,0,1,8,1,1,0,0,1,0,1,1
0,0,1,25,1,0,3,0,1,0,0,0
0,0,0,1,1,0,3,2,2,0,0,0
2,0,1,1,1,0,0,2,1,0,0,0
0,0,0,6,1,1,3,0,1,1,0,0
0,0,0,22,1,0,3,0,1,1,0,0
0,0,1,1,1,1,3,0,2,0,0,0
0,0,1,1,1,1,3,0,2,0,0,0
0,0,0,11,1,1,3,0,2,1,0,0
0,0,1,35,1,1,1,0,1,0,0,0
0,0,0,6,1,1,3,0,2,0,0,0
0,0,0,13,1,1,2,0,0,0,0,0
0,0,0,27,1,1,2,0,1,0,0,0
0,0,0,27,2,1,3,0,2,0,0,0
0,0,0,5,2,1,3,0,1,0,0,0
0,0,0,17,0,1,3,0,1,0,0,0
0,0,0,17,0,1,2,0,1,0,0,0
0,0,0,18,0,1,3,0,1,0,0,0
0,0,0,1,0,1,3,0,1,1,0,0
0,0,0,17,0,0,3,0,1,1,0,0
2,0,0,1,0,0,3,0,2,0,0,0
2,0,0,12,0,0,3,0,1,0,0,0
0,0,0,22,0,0,3,0,1,0,0,0
0,0,0,1,0,0,3,0,1,0,0,0
0,0,0,1,0,1,3,0,1,0,0,0
0,0,0,11,0,1,3,0,2,0,0,0
0,0,1,9,1,0,3,0,1,0,0,0
0,0,1,20,1,0,3,0,1,0,0,0
0,0,1,32,1,0,3,0,1,0,0,0
0,0,1,0,1,0,3,0,1,0,0,0
0,0,1,0,1,0,3,0,1,0,0,0
0,0,1,10,1,0,3,0,1,0,0,0
0,0,1,0,1,0,3,0,1,0,0,0
0,0,1,0,1,0,3,0,1,0,0,0
0,0,1,0,1,0,3,0,1,0,0,0
0,0,1,1,1,0,3,0,1,0,0,0
0,0,1,0,1,0,3,0,1,0,0,0
0,0,1,20,1,0,3,0,1,0,0,0
0,0,1,1,1,0,3,0,1,0,0,0
0,0,1,25,1,0,3,0,1,0,0,0
0,0,1,8,1,0,3,0,1,0,0,0
0,0,1,1,1,0,3,0,1,0,0,0
0,0,1,1,1,0,3,0,1,0,0,0
0,0,1,24,1,0,3,0,1,0,0,0
0,0,1,36,1,0,3,0,1,0,0,0
0,0,1,1,1,0,3,0,1,0,0,0
0,0,1,1,1,0,3,0,1,0,0,0
0,0,1,12,1,0,3,0,1,0,0,0
0,0,1,25,1,0,3,0,1,0,0,0
0,0,1,33,1,0,0,0,1,0,0,0
0,0,1,6,1,0,1,0,1,0,0,0
0,0,1,10,1,0,3,0,1,0,0,0
0,0,1,6,1,0,1,0,1,0,0,0
0,0,1,23,1,0,3,0,1,0,0,0
0,0,1,1,1,0,3,0,1,0,0,0
0,0,1,25,1,0,3,0,1,1,0,0
0,0,1,30,1,0,3,0,1,0,0,0
0,0,1,1,1,0,3,0,1,0,0,0
0,0,1,0,1,0,3,0,1,0,0,0
0,0,1,8,1,0,3,0,1,1,0,0
0,0,1,8,1,0,3,0,1,0,0,0
0,0,1,1,1,0,3,0,1,0,0,0
0,0,1,21,1,0,3,0,1,1,0,0
0,0,1,36,1,0,3,0,1,0,0,0
0,0,1,1,1,0,3,0,1,0,0,0
0,0,1,36,1,0,3,0,1,0,0,0
0,0,1,41,1,0,3,0,1,0,0,0
0,0,1,1,1,0,3,0,1,0,0,0
0,0,1,24,1,0,3,0,1,1,0,0
0,0,1,8,1,0,3,0,1,0,0,0
0,1,1,20,1,0,3,0,1,0,0,1
0,0,1,24,1,0,3,0,1,0,0,0
0,0,1,16,1,0,3,0,1,1,0,1
0,0,1,27,1,0,3,0,1,1,0,1
0,0,1,27,1,0,3,0,1,1,0,0
0,0,1,27,1,0,3,0,1,1,0,0
0,0,1,8,1,0,1,0,1,1,0,1
0,0,1,10,1,0,3,0,1,1,0,0
0,0,1,27,1,0,1,0,1,1,0,0
0,0,1,21,1,0,1,0,1,1,0,1
0,0,1,27,1,0,3,0,1,1,0,1
0,0,1,27,1,0,3,0,1,1,0,1
0,0,1,0,1,0,3,0,1,1,0,0
0,0,1,21,1,0,3,0,1,1,0,1
0,0,1,11,1,0,3,0,1,0,0,1
0,0,1,27,1,0,3,0,1,1,0,1
0,0,1,31,1,0,1,0,1,1,0,0
0,0,1,16,1,0,1,0,1,1,0,1
0,0,1,27,1,0,1,0,1,1,0,0
0,0,1,21,1,0,1,0,1,1,0,1
0,0,1,6,1,0,1,0,1,1,0,0
0,0,1,27,1,0,1,0,1,1,0,0
0,0,1,42,1,0,3,0,1,0,0,0
0,0,1,18,1,0,3,0,1,1,0,0
0,0,1,8,1,0,3,0,1,1,0,1
0,0,1,27,1,0,3,0,1,1,0,1
0,0,1,27,1,0,1,0,1,1,0,0
0,0,1,40,1,0,3,0,1,0,0,0
0,0,1,24,1,0,3,0,1,0,0,0
0,0,1,13,1,0,3,0,1,0,0,0
0,0,1,31,1,0,3,0,1,0,0,0
0,0,1,8,1,0,3,0,1,0,0,0
0,0,1,35,1,0,3,0,1,0,0,0
0,0,1,1,1,0,0,0,1,0,0,1
0,0,1,1,1,0,0,0,1,0,0,1
0,0,1,1,1,0,2,0,1,0,0,1
